video_id,playback_path,duration,frame_rate,resolution,motion_score,motion_variance,motion_tag,mood_tag,semantic_tags,formal_tags,emotional_tags,material_tags,dominant_colors,semantic_caption,ai_description
Untitled8_prores_scene_015,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/Untitled8_prores_scene_015_hap.mov,7.13,29.87,654x480,,,,,,,,,,,
Untitled8_prores_scene_019,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/Untitled8_prores_scene_019_hap.mov,4.96,29.87,654x480,,,,,,,,,,,
IMG_0049_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/IMG_0049_prores_scene_001_hap.mov,25.8,29.97002997002997,720x1280,,,,,,,,,,,
2_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/2_prores_scene_001_hap.mov,49.5,30.0,2160x3840,,,,,,,,,,,
DRIVING_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/DRIVING_prores_scene_001_hap.mov,4.27,29.96,490x360,,,,,,,,,,,
