video_id,playback_path,duration,frame_rate,resolution,motion_score,motion_variance,motion_tag,mood_tag,semantic_tags,formal_tags,emotional_tags,material_tags,dominant_colors,semantic_caption,ai_description
DRIVING_prores_scene_002,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/DRIVING_prores_scene_002_hap.mov,8.86,29.97002997002997,490x360,,,,,,,,,,,
Untitled8_prores_scene_003,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/Untitled8_prores_scene_003_hap.mov,10.44,29.88,654x480,,,,,,,,,,,
Untitled8_prores_scene_022,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/Untitled8_prores_scene_022_hap.mov,16.94,29.87,654x480,,,,,,,,,,,
IMG_4363_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/IMG_4363_prores_scene_001_hap.mov,3.97,30.0,640x1136,,,,,,,,,,,
