video_id,playback_path,duration,frame_rate,resolution,motion_score,motion_variance,motion_tag,mood_tag,semantic_tags,formal_tags,emotional_tags,material_tags,dominant_colors,semantic_caption,ai_description
Untitled8_prores_scene_014,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/Untitled8_prores_scene_014_hap.mov,17.61,29.87,654x480,,,,,,,,,,,
DRIVING_prores_scene_002,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/DRIVING_prores_scene_002_hap.mov,8.86,29.97002997002997,490x360,,,,,,,,,,,
IMG_0049_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/IMG_0049_prores_scene_001_hap.mov,25.8,29.97002997002997,720x1280,,,,,,,,,,,
2_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/2_prores_scene_001_hap.mov,49.5,30.0,2160x3840,,,,,,,,,,,
IMG_4133_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/IMG_4133_prores_scene_001_hap.mov,60.3,30.0,720x1280,,,,,,,,,,,
IMG_4363_prores_scene_001,/Users/franknapolski/Sites/RUNTIME-CODE/_WORKING/data/playback/IMG_4363_prores_scene_001_hap.mov,3.97,30.0,640x1136,,,,,,,,,,,
